Elapsed,Date,Time,Pitch,Roll,Heading,Latitude,Longitude,Altitude,Next WP,Velocity,RTK Status,Latitude RTK,Longitude RTK,Altitude RTK,ALT:Altitude,ALT:ID,GAS:Methane,GAS:Status
1.76358E+12,11/19/2025,42:32.1,,,,,,,,,,,,,0.15,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:32.2,0.62,-1.49,102.72,40.46035198,-109.5652718,0,,0,OFF,,,,0.14,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:32.3,0.61,-1.49,102.71,40.46035198,-109.5652718,0,,0,OFF,,,,0.14,v1:altimeter:LIGHTWARESF30D:0,10,1
1.76358E+12,11/19/2025,42:32.4,0.62,-1.49,102.76,40.46035198,-109.5652718,0,,0,OFF,,,,0.14,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:32.5,0.63,-1.49,102.75,40.46035198,-109.5652716,0,,0.01,OFF,,,,0.14,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:32.6,0.63,-1.49,102.75,40.46035197,-109.5652716,0,,0.01,OFF,,,,0.15,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:32.7,0.63,-1.48,102.74,40.46035198,-109.5652717,0,,0,OFF,,,,0.14,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:32.7,0.63,-1.48,102.72,40.46035198,-109.5652717,0,,0,OFF,,,,0.16,v1:altimeter:LIGHTWARESF30D:0,1,1
1.76358E+12,11/19/2025,42:32.9,0.64,-1.48,102.79,40.46035198,-109.5652715,0,,0,OFF,,,,0.15,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:33.0,0.62,-1.48,102.81,40.46035198,-109.5652715,0,,0,OFF,,,,0.14,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:33.1,0.65,-1.49,102.81,40.46035198,-109.5652714,0,,0,OFF,,,,0.14,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:33.2,0.68,-1.49,102.83,40.46035198,-109.5652714,0,,0,OFF,,,,0.15,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:33.2,0.67,-1.48,102.84,40.46035198,-109.5652715,0,,0,OFF,,,,0.15,v1:altimeter:LIGHTWARESF30D:0,2,1
1.76358E+12,11/19/2025,42:33.4,0.65,-1.48,102.77,40.46035198,-109.5652714,0,,0.01,OFF,,,,0.14,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:33.5,0.66,-1.47,102.78,40.46035198,-109.5652713,0,,0.01,OFF,,,,0.13,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:33.6,0.66,-1.48,102.76,40.46035198,-109.5652713,0,,0.01,OFF,,,,0.14,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:33.7,0.66,-1.46,102.74,40.46035198,-109.5652714,0,,0.01,OFF,,,,0.14,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:33.8,0.66,-1.46,102.71,40.46035198,-109.5652713,0,,0.01,OFF,,,,0.14,v1:altimeter:LIGHTWARESF30D:0,7,1
1.76358E+12,11/19/2025,42:33.9,0.68,-1.45,102.71,40.46035198,-109.5652712,0,,0.01,OFF,,,,0.16,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:34.0,0.69,-1.47,102.7,40.46035198,-109.5652712,0,,0.01,OFF,,,,0.15,v1:altimeter:LIGHTWARESF30D:0,,
